Type	Time	Value	Data center
rtb.requests	1561385160	6290.417373	dc=S
rtb.requests	1561385220	11920.50397	dc=S
rtb.requests	1561385520	11951.69238	dc=S
rtb.requests	1561385580	12379.50944	dc=S
rtb.requests	1561385880	13063.17667	dc=S
rtb.requests	1561385940	13099.33222	dc=S
rtb.requests	1561386240	13279.54667	dc=S
rtb.requests	1561386300	13296.38	dc=S
rtb.requests	1561386600	13027.155	dc=S
rtb.requests	1561386660	13036.19111	dc=S
rtb.requests	1561386960	13141.42889	dc=S
rtb.requests	1561387020	12943.91191	dc=S
rtb.requests	1561387320	12958.45079	dc=S
rtb.requests	1561387380	12987.14206	dc=S
rtb.requests	1561387680	12897.37389	dc=S
rtb.requests	1561387740	12978.35722	dc=S
rtb.requests	1561388040	13038.29611	dc=S
rtb.requests	1561388100	12347.98651	dc=S
rtb.requests	1561388400	11875.33929	dc=S
rtb.requests	1561388460	12264.75278	dc=S
rtb.requests	1561388760	13001.79833	dc=S
rtb.requests	1561389120	13027	dc=S
rtb.requests	1561389180	12735.92857	dc=S
rtb.requests	1561389480	12516.81191	dc=S
rtb.requests	1561389540	11831.49167	dc=S
rtb.requests	1561389840	12745.36564	dc=S
rtb.requests	1561389900	12607.77	dc=S
rtb.requests	1561390200	11676.36833	dc=S
rtb.requests	1561390260	11714.95167	dc=S
rtb.requests	1561390560	11358.38944	dc=S
rtb.requests	1561390920	11134.95889	dc=S
rtb.requests	1561390980	11016.62897	dc=S
rtb.requests	1561391280	11232.53087	dc=S
rtb.requests	1561391340	11248.95667	dc=S
rtb.requests	1561391640	10874.86222	dc=S
rtb.requests	1561391700	10840.17937	dc=S
rtb.requests	1561392000	10941.89603	dc=S
rtb.requests	1561392060	10433.36667	dc=S
rtb.requests	1561392360	9959.694048	dc=S
rtb.requests	1561392420	9856.666667	dc=S
rtb.requests	1561392720	10211.88	dc=S
rtb.requests	1561392780	10152.64389	dc=S
rtb.requests	1561393080	10603.71889	dc=S
rtb.requests	1561393140	10387.59921	dc=S
rtb.requests	1561393440	9830.024207	dc=S
rtb.requests	1561393500	9815.251191	dc=S
rtb.requests	1561393800	9812.845556	dc=S
rtb.requests	1561393860	9768.823334	dc=S
rtb.requests	1561394160	9105.448334	dc=S
rtb.requests	1561394220	9092.846032	dc=S
rtb.requests	1561394520	8769.725	dc=S
rtb.requests	1561394580	8722.033334	dc=S
rtb.requests	1561394880	8456.347778	dc=S
rtb.requests	1561394940	8354.816667	dc=S
rtb.requests	1561395240	7620.737223	dc=S
rtb.requests	1561395600	6843.981667	dc=S
rtb.requests	1561395660	6804.455953	dc=S
rtb.requests	1561395960	6788.294365	dc=S
rtb.requests	1561396020	6786.417778	dc=S
rtb.requests	1561396320	6789.712223	dc=S
rtb.requests	1561396380	6463.687302	dc=S
rtb.requests	1561396680	6265.647143	dc=S
rtb.requests	1561396740	6287.159445	dc=S
rtb.requests	1561397040	6648.323334	dc=S
rtb.requests	1561397100	6220.227381	dc=S
rtb.requests	1561397400	6375.182778	dc=S
rtb.requests	1561397460	6373.921667	dc=S
rtb.requests	1561397760	5506.443889	dc=S
rtb.requests	1561398120	5505.416111	dc=S
rtb.requests	1561398180	5302.614286	dc=S
